# xp i yp j p u v ts tf
   0.00000   1    0.00000   1   1.019E+05 -2.376E-08  6.501E-02  2.932E+02  2.930E+02
   0.00000   1    0.00316   2   1.019E+05 -2.376E-08  6.501E-02  2.932E+02  2.930E+02
   0.00000   1    0.00947   3   1.019E+05 -2.041E-08  6.499E-02  2.936E+02  2.930E+02
   0.00000   1    0.01578   4   1.019E+05 -1.489E-08  6.500E-02  2.943E+02  2.930E+02
   0.00000   1    0.02209   5   1.019E+05 -2.501E-09  6.499E-02  2.954E+02  2.930E+02
   0.00000   1    0.02841   6   1.019E+05 -1.160E-09  6.498E-02  2.971E+02  2.930E+02
   0.00000   1    0.03472   7   1.019E+05  6.654E-09  6.499E-02  2.999E+02  2.930E+02
   0.00000   1    0.04103   8   1.019E+05  1.372E-08  6.499E-02  3.041E+02  2.930E+02
   0.00000   1    0.04734   9   1.019E+05  2.606E-08  6.498E-02  3.106E+02  2.930E+02
   0.00000   1    0.05366  10   1.018E+05  2.496E-08  6.498E-02  3.200E+02  2.930E+02
   0.00000   1    0.05997  11   1.018E+05  2.838E-08  6.497E-02  3.332E+02  2.930E+02
   0.00000   1    0.06628  12   1.018E+05  3.151E-08  6.498E-02  3.512E+02  2.930E+02
   0.00000   1    0.07259  13   1.018E+05  3.591E-08  6.498E-02  3.751E+02  2.930E+02
   0.00000   1    0.07891  14   1.018E+05  4.091E-08  6.497E-02  4.057E+02  2.931E+02
   0.00000   1    0.08522  15   1.018E+05  4.635E-08  6.490E-02  4.439E+02  2.956E+02
   0.00000   1    0.09153  16   1.018E+05  5.234E-08  6.505E-02  4.900E+02  3.482E+02
   0.00000   1    0.09784  17   1.018E+05  5.878E-08  6.498E-02  4.439E+02  3.482E+02
   0.00000   1    0.10416  18   1.018E+05  6.520E-08  6.497E-02  4.057E+02  3.482E+02
   0.00000   1    0.11047  19   1.018E+05  7.168E-08  6.498E-02  3.751E+02  3.482E+02
   0.00000   1    0.11678  20   1.018E+05  7.825E-08  6.497E-02  3.512E+02  3.482E+02
   0.00000   1    0.12309  21   1.018E+05  8.478E-08  6.497E-02  3.332E+02  3.482E+02
   0.00000   1    0.12941  22   1.018E+05  9.179E-08  6.497E-02  3.200E+02  3.482E+02
   0.00000   1    0.13572  23   1.018E+05  9.776E-08  6.498E-02  3.106E+02  3.482E+02
   0.00000   1    0.14203  24   1.017E+05  1.053E-07  6.498E-02  3.042E+02  3.482E+02
   0.00000   1    0.14834  25   1.017E+05  1.144E-07  6.497E-02  2.999E+02  3.482E+02
   0.00000   1    0.15466  26   1.017E+05  1.283E-07  6.497E-02  2.971E+02  3.482E+02
   0.00000   1    0.16097  27   1.017E+05  1.489E-07  6.497E-02  2.954E+02  3.482E+02
   0.00000   1    0.16728  28   1.017E+05  1.815E-07  6.498E-02  2.944E+02  3.482E+02
   0.00000   1    0.17359  29   1.017E+05  2.404E-07  6.498E-02  2.937E+02  3.482E+02
   0.00000   1    0.17991  30   1.017E+05  3.293E-07  6.497E-02  2.934E+02  3.482E+02
   0.00000   1    0.18622  31   1.017E+05  5.828E-07  6.497E-02  2.932E+02  3.482E+02
   0.00000   1    0.19253  32   1.017E+05  8.795E-07  6.497E-02  2.931E+02  3.482E+02
