VARIABLES="XP","YP","P","U","V","TS","TF"
ZONE T="Zone 001"I=    82 J=    12 F=POINT
  0.000E+00  0.000E+00  1.013E+05 -8.017E-08 -2.804E-04  2.930E+02  5.090E+02
  0.000E+00  3.156E-03  1.013E+05 -8.017E-08 -2.804E-04  2.930E+02  5.090E+02
  0.000E+00  9.469E-03  1.013E+05 -6.822E-08  9.194E-04  2.930E+02  8.869E+02
  0.000E+00  1.578E-02  1.013E+05 -9.008E-08  1.345E-03  2.930E+02  1.147E+03
  0.000E+00  2.209E-02  1.013E+05 -1.560E-07  1.364E-03  2.930E+02  1.287E+03
  0.000E+00  2.841E-02  1.013E+05 -1.725E-07  1.173E-03  2.930E+02  1.344E+03
  0.000E+00  3.472E-02  1.013E+05 -6.471E-07  8.344E-04  2.931E+02  1.362E+03
  0.000E+00  4.103E-02  1.013E+05  1.572E-06  4.191E-04  2.932E+02  1.366E+03
  0.000E+00  4.734E-02  1.013E+05  2.451E-05  5.579E-06  2.935E+02  1.365E+03
  0.000E+00  5.366E-02  1.013E+05  2.316E-06 -4.035E-04  2.944E+02  1.364E+03
  0.000E+00  5.997E-02  1.013E+05 -2.608E-07 -8.288E-04  2.965E+02  1.362E+03
  0.000E+00  6.628E-02  1.013E+05  1.339E-07 -1.257E-03  3.011E+02  1.360E+03
  0.000E+00  7.259E-02  1.013E+05  8.881E-08 -1.692E-03  3.104E+02  1.357E+03
  0.000E+00  7.891E-02  1.013E+05  1.372E-07 -2.215E-03  3.274E+02  1.355E+03
  0.000E+00  8.522E-02  1.013E+05  1.738E-07 -2.972E-03  3.557E+02  1.353E+03
  0.000E+00  9.153E-02  1.013E+05  2.785E-07 -3.218E-03  3.982E+02  1.350E+03
  0.000E+00  9.784E-02  1.013E+05  1.392E-07 -5.661E-03  3.557E+02  1.122E+03
  0.000E+00  1.042E-01  1.013E+05  2.970E-07 -5.893E-03  3.274E+02  1.095E+03
  0.000E+00  1.105E-01  1.013E+05  3.023E-07 -5.986E-03  3.104E+02  1.092E+03
  0.000E+00  1.168E-01  1.013E+05 -1.285E-07 -5.972E-03  3.011E+02  1.093E+03
  0.000E+00  1.231E-01  1.013E+05  2.212E-06 -5.927E-03  2.965E+02  1.094E+03
  0.000E+00  1.294E-01  1.013E+05  2.395E-05 -5.851E-03  2.944E+02  1.096E+03
  0.000E+00  1.357E-01  1.013E+05  1.191E-06 -5.749E-03  2.935E+02  1.097E+03
  0.000E+00  1.420E-01  1.013E+05 -8.320E-07 -5.629E-03  2.932E+02  1.099E+03
  0.000E+00  1.483E-01  1.013E+05 -2.040E-07 -5.505E-03  2.931E+02  1.101E+03
  0.000E+00  1.547E-01  1.013E+05 -1.374E-07 -5.386E-03  2.930E+02  1.103E+03
  0.000E+00  1.610E-01  1.013E+05 -7.178E-08 -5.252E-03  2.930E+02  1.105E+03
  0.000E+00  1.673E-01  1.013E+05  4.411E-07 -5.102E-03  2.930E+02  1.107E+03
  0.000E+00  1.736E-01  1.013E+05 -1.495E-06 -4.949E-03  2.930E+02  1.109E+03
