VARIABLES="XP","YP","P","U","V","TS","TF"
ZONE T="Zone 001"I=    22 J=    12 F=POINT
  0.000E+00  0.000E+00  3.829E+01  1.000E+00  0.000E+00  3.076E+02  3.000E+02
  0.000E+00  1.125E-03  3.829E+01  1.000E+00  0.000E+00  3.076E+02  3.000E+02
  0.000E+00  3.375E-03  3.829E+01  1.000E+00  0.000E+00  3.062E+02  3.000E+02
  0.000E+00  5.625E-03  3.828E+01  1.000E+00  0.000E+00  3.050E+02  3.000E+02
  0.000E+00  7.875E-03  3.828E+01  1.000E+00  0.000E+00  3.041E+02  3.000E+02
  0.000E+00  1.012E-02  3.828E+01  1.000E+00  0.000E+00  3.033E+02  3.000E+02
  0.000E+00  1.238E-02  3.828E+01  1.000E+00  0.000E+00  3.027E+02  3.000E+02
  0.000E+00  1.462E-02  3.828E+01  1.000E+00  0.000E+00  3.022E+02  3.000E+02
  0.000E+00  1.688E-02  3.828E+01  1.000E+00  0.000E+00  3.018E+02  3.000E+02
  0.000E+00  1.912E-02  3.828E+01  1.000E+00  0.000E+00  3.015E+02  3.000E+02
  0.000E+00  2.137E-02  3.828E+01  1.000E+00  0.000E+00  3.013E+02  3.000E+02
  0.000E+00  2.362E-02  3.828E+01  1.000E+00  0.000E+00  3.011E+02  3.000E+02
  0.000E+00  2.587E-02  3.828E+01  1.000E+00  0.000E+00  3.009E+02  3.000E+02
  0.000E+00  2.812E-02  3.828E+01  1.000E+00  0.000E+00  3.008E+02  3.000E+02
  0.000E+00  3.037E-02  3.828E+01  1.000E+00  0.000E+00  3.006E+02  3.000E+02
  0.000E+00  3.262E-02  3.828E+01  1.000E+00  0.000E+00  3.006E+02  3.000E+02
  0.000E+00  3.487E-02  3.828E+01  1.000E+00  0.000E+00  3.005E+02  3.000E+02
  0.000E+00  3.712E-02  3.828E+01  1.000E+00  0.000E+00  3.004E+02  3.000E+02
  0.000E+00  3.938E-02  3.828E+01  1.000E+00  0.000E+00  3.004E+02  3.000E+02
  0.000E+00  4.163E-02  3.829E+01  1.000E+00  0.000E+00  3.004E+02  3.000E+02
  0.000E+00  4.388E-02  3.829E+01  1.000E+00  0.000E+00  3.004E+02  3.000E+02
  0.000E+00  4.500E-02  3.829E+01  1.000E+00  0.000E+00  3.004E+02  3.000E+02
  5.700E-03  0.000E+00  3.638E+01  0.000E+00  0.000E+00  3.085E+02  3.085E+02
  5.700E-03  1.125E-03  3.637E+01  9.899E-01  2.051E-03  3.076E+02  3.037E+02
  5.700E-03  3.375E-03  3.637E+01  1.001E+00  1.898E-03  3.062E+02  3.028E+02
  5.700E-03  5.625E-03  3.637E+01  1.001E+00  1.571E-03  3.050E+02  3.022E+02
  5.700E-03  7.875E-03  3.637E+01  1.001E+00  1.292E-03  3.041E+02  3.018E+02
  5.700E-03  1.012E-02  3.637E+01  1.000E+00  1.046E-03  3.033E+02  3.014E+02
  5.700E-03  1.238E-02  3.637E+01  1.000E+00  8.256E-04  3.027E+02  3.012E+02
  5.700E-03  1.462E-02  3.637E+01  1.000E+00  6.246E-04  3.022E+02  3.010E+02
  5.700E-03  1.688E-02  3.637E+01  1.000E+00  4.370E-04  3.018E+02  3.008E+02
  5.700E-03  1.912E-02  3.637E+01  1.000E+00  2.582E-04  3.015E+02  3.006E+02
  5.700E-03  2.137E-02  3.637E+01  1.000E+00  8.538E-05  3.013E+02  3.005E+02
  5.700E-03  2.362E-02  3.637E+01  1.000E+00 -8.538E-05  3.011E+02  3.004E+02
  5.700E-03  2.587E-02  3.637E+01  1.000E+00 -2.582E-04  3.009E+02  3.004E+02
  5.700E-03  2.812E-02  3.637E+01  1.000E+00 -4.370E-04  3.008E+02  3.003E+02
  5.700E-03  3.037E-02  3.637E+01  1.000E+00 -6.246E-04  3.006E+02  3.003E+02
  5.700E-03  3.262E-02  3.637E+01  1.000E+00 -8.256E-04  3.006E+02  3.002E+02
